Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
14000	-467.7174	-499.2733	31.55584	10	1.891963	0.00229441	0.121474	0.0177825	0.0166641	0.179062	0.17722	0.0458526	0.0654744	0.053908	0.0614334	0.0273806	0.0102649	0.03586	0.0617893	0.0479595	0.0299002	0.0443634	0.0160187	0.0942517	0.0720464	0.232921	0.519162	0.204928	0.0496467	0.132777	0.143748	0.165985	0.280028	0.64301	1.06704	2.00993	5	2.630167
15000	-468.083	-498.5941	30.51115	10	1.604597	0.00179672	0.192383	0.0121387	0.0807368	0.218334	0.01238	0.0818737	0.0420053	0.03543	0.0623653	0.0441369	0.0389821	0.0022156	0.008977	0.0120631	0.12825	0.0186916	0.0294599	0.124552	0.0660571	0.023433	0.198048	0.218319	0.184088	0.0723061	0.0256209	0.0531425	0.241038	0.605089	1.05602	2.09786	5	1.987786
16000	-466.7792	-496.1496	29.3704	10	1.853566	0.0021333	0.124188	0.0124878	0.0268449	0.201786	0.109576	0.0219906	0.0246232	0.139834	0.127507	0.0111829	0.00972512	0.0679535	0.0812591	0.0824086	0.139138	0.155624	0.174805	0.153437	0.0642967	0.0106557	0.266425	0.0534601	0.067	0.0482446	0.0999842	0.0366355	0.275145	0.63848	1.06585	2.02052	5	2.313206
17000	-463.3378	-495.0882	31.75042	10	1.510778	0.0120184	0.12739	0.00305049	0.0354324	0.234632	0.103262	0.0413982	0.0473166	0.0216868	0.0346159	0.0657197	0.000989901	0.075944	0.0356606	0.0575913	0.026243	0.0583179	0.0428584	0.0882636	0.0988595	0.0137317	0.202623	0.320826	0.0462954	0.0422701	0.0106402	0.190259	0.226983	0.590341	1.05105	2.13163	5	2.037895
18000	-474.0553	-500.7176	26.66229	10	1.544865	0.00210904	0.107253	0.026549	0.0593327	0.252586	0.0464258	0.157502	0.0730015	0.0577217	0.0362473	0.036284	0.000713092	0.0889451	0.0998047	0.0144824	0.224178	0.0277411	0.175389	0.131052	0.240993	0.0845935	0.233625	0.0435145	0.23201	0.081882	0.0652195	0.112199	0.232171	0.595858	1.05295	2.11902	5	2.711356
19000	-462.9666	-492.0657	29.09905	10	5.294179	4.73894e-05	0.0793699	0.0171505	0.0352797	0.242441	0.0808562	0.0347651	0.03853	0.0776991	0.0418422	0.0268398	0.0351912	0.0183223	0.0113114	0.0671272	0.0458491	0.105021	0.0371867	0.132491	0.0520375	0.0895136	0.382572	0.0480975	0.0405178	0.114026	0.243289	0.0258734	0.513855	0.810684	1.08275	1.59271	5	2.123248
20000	-463.6441	-497.4512	33.80708	10	1.08327	0.0239151	0.0933875	0.0154581	0.0612275	0.360403	0.0345917	0.055377	0.0634952	0.0360258	0.0892885	0.0211611	0.00927592	0.0731815	0.0522825	0.00360505	0.0355318	0.000892545	0.019756	0.0778396	0.0876121	0.0586979	0.385834	0.0281581	0.204514	0.207329	0.0530934	0.098843	0.153263	0.500425	1.01253	2.33378	5	2.250777
21000	-469.9642	-497.7152	27.75103	10	1.770097	0.000112602	0.181163	0.016506	0.0145302	0.379873	0.0774138	0.0245852	0.0173055	0.0936199	0.0740368	0.0825498	0.0502403	0.177761	0.0313596	0.0410388	0.0719831	0.0395346	0.0254307	0.142671	0.188714	0.0349185	0.215557	0.0768856	0.0315693	0.0578395	0.233278	0.031912	0.264196	0.628105	1.06301	2.04469	5	2.412388
22000	-470.2545	-504.5471	34.29258	10	1.304346	0.00071078	0.104859	0.0606235	0.0636029	0.386711	0.0221262	0.021861	0.0484095	0.0598801	0.0143717	0.0484378	0.0054355	0.0570314	0.0857614	0.0519455	0.0184191	0.149426	0.282591	0.132395	0.114157	0.0254417	0.163197	0.0434041	0.0153174	0.018608	0.0354619	0.0521449	0.193456	0.552382	1.03652	2.21764	5	2.082328
23000	-470.2998	-500.9272	30.62743	10	1.274922	0.00166194	0.10538	0.00240178	0.00454406	0.235178	0.0498335	0.0419205	0.062721	0.0968068	0.0509149	0.0314141	0.0393619	0.0413339	0.135572	0.0189724	0.0654951	0.0426492	0.246651	0.131595	0.0496413	0.047154	0.466641	0.150276	0.0521847	0.0463974	0.153794	0.0303505	0.188368	0.546234	1.03393	2.23147	5	2.400846
24000	-458.2311	-494.1111	35.88	10	1.319959	0.0130703	0.179418	0.0226331	0.0223597	0.228141	0.0806165	0.000376111	0.081944	0.0341068	0.039137	0.0428127	0.0536137	0.0897376	0.0418877	0.0767911	0.107223	0.133317	0.0199889	0.0812902	0.00555874	0.0265099	0.30526	0.0218272	0.017141	0.055603	0.0420092	0.280235	0.196123	0.555561	1.03783	2.21048	5	2.102608
25000	-472.2723	-496.9158	24.64346	10	2.247873	0.0219433	0.16493	0.00211429	0.00283157	0.343451	0.181398	0.104772	0.0505869	0.0482588	0.0206798	0.0338835	0.00725185	0.098201	0.0821572	0.079677	0.157444	0.0608747	0.210024	0.0949896	0.153816	0.0273918	0.553967	0.0924137	0.0682371	0.0332005	0.056223	0.0163566	0.321171	0.679024	1.07511	1.92469	5	2.767074
26000	-462.3719	-492.143	29.77118	2	0.9581919	0.00670275	0.0970757	0.00249895	0.0197859	0.163787	0.00291479	0.0246798	0.00753005	0.0706448	0.0232701	0.00914219	0.0134365	0.0315402	0.0381787	0.0152653	0.0426187	0.205504	0.0736502	0.0734266	0.0410564	0.0236637	0.167771	0.0524444	0.125284	0.0530435	0.0252296	0.150183	0.128538	0.463814	0.992712	2.41494	4	1.56033
27000	-454.7289	-492.6622	37.93326	10	0.8060088	0.00465887	0.129143	0.00655112	0.010579	0.17157	2.33418e-05	0.0622139	0.0370956	0.00773281	0.0445846	0.0175043	0.000948825	0.175347	0.0370614	0.0253847	0.0478058	0.12669	0.232275	0.152648	0.061726	0.0250045	0.0023629	0.0892339	0.0374249	0.166584	0.0446578	0.193613	0.0968367	0.409542	0.958606	2.53502	5	1.910424
28000	-458.1567	-496.1711	38.01436	10	1.119544	0.0017135	0.12657	0.0123746	0.00301391	0.122383	0.0762258	0.000544425	0.0432038	0.0344292	0.0481406	0.0824421	0.0119836	0.0369571	0.0188184	0.061556	0.0137549	0.131121	0.145879	0.111189	0.157511	0.051778	0.0788013	0.0603867	0.0972858	0.173238	0.00325859	0.0152751	0.16017	0.509954	1.01729	2.31258	5	1.719834
29000	-462.2049	-495.3063	33.10136	10	1.048319	0.0104629	0.147438	0.00328641	0.0598734	0.273743	0.0786064	0.0674483	0.0356162	0.0488175	0.0678195	0.000472826	0.0292991	0.0969884	0.0355039	0.0109186	0.0615469	0.0392326	0.266671	0.108224	0.101978	0.130514	0.232058	0.0279075	0.0994797	0.0523591	0.165267	0.00154725	0.146493	0.490809	1.00757	2.35513	5	2.253078
30000	-456.8628	-488.8228	31.96	10	1.333164	0.0045444	0.166945	0.000508487	0.00956285	0.263342	0.053753	0.0213872	0.0349756	0.0283044	0.0727299	0.0559569	0.00400684	0.0316167	0.00803298	0.0215504	0.166524	0.0531519	0.420225	0.141364	0.0131116	0.00873431	0.0830834	0.0655073	0.14893	0.0899122	0.0402171	0.114704	0.198362	0.558206	1.03891	2.20452	5	2.12268
31000	-477.8797	-507.5166	29.63687	10	1.824402	0.0150093	0.128903	0.0665677	0.109612	0.399923	0.0910822	0.0656318	0.063646	0.0166817	0.0724245	0.00634445	0.0631726	0.0382091	0.0359296	0.072514	0.11278	0.150445	0.297981	0.185353	0.05006	0.0786164	0.091134	0.0811633	0.00532098	0.0270035	0.0140702	0.187968	0.271373	0.63494	1.0649	2.02878	5	2.527546
32000	-462.9016	-497.1694	34.26771	10	1.723822	0.010855	0.195493	0.00487652	0.0341243	0.230385	0.110512	0.00945537	0.0277253	0.0818222	0.123161	0.0203349	0.0033537	0.115593	0.0905752	0.0612081	0.0794707	0.0176183	0.195856	0.0748319	0.0943809	0.0430485	0.000381618	0.193769	0.0163469	0.048303	0.0819833	0.156181	0.257921	0.622017	1.06125	2.05881	5	2.121646
33000	-462.5317	-491.1394	28.60766	10	2.345048	0.0267113	0.142743	0.0117637	0.0255876	0.310304	0.0455587	0.00164653	0.0287097	0.057201	0.0987855	0.0813598	0.0578433	0.0453938	0.0342727	0.0399416	0.0446559	0.0887422	0.260564	0.16053	0.26389	0.114678	0.136138	0.0301381	0.0369148	0.168314	0.0474137	0.0582302	0.331256	0.687316	1.07663	1.90479	5	2.418031
34000	-488.3346	-506.9777	18.64303	2	3.047573	0.00106213	0.122007	0.0176386	0.0380009	0.343331	0.0999007	0.117651	0.0540451	0.139789	0.0845429	0.0511071	0.129838	0.081007	0.0169383	0.0539856	0.0264654	0.117562	0.205116	0.0717956	0.00898692	0.0109429	0.00775667	0.0466874	0.16876	0.0196553	0.110324	0.0957969	0.392909	0.734128	1.08274	1.79022	4	2.240692
35000	-471.6232	-501.4996	29.87643	10	0.9919621	0.0757063	0.144646	0.0117431	0.0726367	0.212162	0.123668	0.0262925	0.0153389	0.046705	0.033491	0.0247244	0.0859661	0.015479	0.0393969	0.0623734	0.123095	0.0387921	0.0699136	0.284679	0.0974806	0.0678802	0.181439	0.282787	0.0636814	0.0824525	0.446553	0.0199346	0.135347	0.474322	0.998655	2.39168	5	2.749018
36000	-466.0055	-505.9041	39.89856	10	0.3578716	0.00768244	0.112526	0.00210448	0.120904	0.0706349	0.111412	0.0270173	0.0222464	0.0486187	0.00917904	0.0334582	0.0786797	0.0425336	0.00593685	0.002104	0.10731	0.289621	0.0509837	0.0748337	0.0583581	0.109596	0.0653052	0.0593668	0.0128416	0.0424844	0.366771	0.00103343	0.0111351	0.149663	0.681351	3.15785	5	1.933542
37000	-449.4959	-488.3882	38.89231	10	1.25877	0.000731279	0.0930061	0.0177331	0.00627578	0.180979	0.0159678	0.0297215	0.0238142	0.0625378	0.116895	0.0216705	0.0055279	0.0187402	0.02107	0.0128895	0.15645	0.0267761	0.242484	0.108508	0.0337493	0.165995	0.0283004	0.0144991	0.018284	0.100851	0.145235	0.0543495	0.185542	0.54277	1.03244	2.23925	5	1.723042
38000	-461.6275	-494.7372	33.10971	10	1.082462	0.0105039	0.133985	0.00425181	0.014576	0.172079	0.0763231	0.0696543	0.060004	0.0170062	0.0132972	0.08612	0.0108916	0.139576	0.0291844	0.0475583	0.151291	0.176327	0.229039	0.122656	0.0758924	0.014759	0.0192285	0.00506878	0.132798	0.0803943	0.116054	0.127896	0.153107	0.500208	1.01242	2.33426	5	2.136413
39000	-466.0426	-494.5044	28.46188	10	1.273131	0.000588904	0.181682	0.00162464	0.0232601	0.275721	0.116984	0.00388319	0.0850106	0.0394229	0.0553695	0.0339117	0.0774434	0.050254	0.102649	0.0223827	0.0922058	0.0309174	0.349749	0.145348	0.00871304	0.0722413	0.0683843	0.307388	0.193293	0.0132105	0.215444	0.00677789	0.188056	0.545853	1.03377	2.23232	5	2.573859
40000	-471.6574	-503.2293	31.57186	10	2.386711	0.00174282	0.17358	0.0706556	0.00587192	0.408172	0.0135627	0.0536867	0.0205803	0.0394246	0.0163077	0.0881385	0.052141	0.0656931	0.0458647	0.0290588	0.0187813	0.0607966	0.189884	0.104283	0.0022927	0.0283517	0.0848673	0.0430092	0.118072	0.128521	0.0302929	0.130378	0.335446	0.690704	1.07722	1.89663	5	2.024012
41000	-464.7429	-496.9339	32.19101	10	1.929737	0.0148985	0.123817	0.000829361	0.0191285	0.335318	0.0542243	0.00899806	0.0168107	0.0356592	0.0595277	0.00373892	0.0171883	0.0619924	0.0750128	0.0460032	0.112703	0.08023	0.067363	0.222802	0.0224161	0.179074	0.192222	0.0696997	0.448449	0.000484604	0.0467106	0.0811782	0.284741	0.647328	1.06813	1.9998	5	2.396479
42000	-468.3452	-500.8474	32.50217	10	1.662664	0.00507418	0.191507	0.0172546	0.0368493	0.198587	0.039341	0.0430397	0.0571491	0.0713817	0.170679	0.0519974	0.0216029	0.0534402	0.000838277	0.113	0.0494091	0.0365227	0.10243	0.0469719	0.0191001	0.0313144	0.290959	0.01993	0.336642	0.0948597	0.125582	0.116225	0.249393	0.613568	1.0587	2.07834	5	2.341687
43000	-472.0495	-498.6061	26.55655	10	0.6353592	0.0122916	0.270277	0.00087845	0.0317232	0.201545	0.0252681	0.121636	0.0923733	0.0337332	0.10205	0.0349687	0.0566523	0.0131389	0.0376433	0.0185196	0.0043879	0.0352057	0.0955646	0.137692	0.128958	0.196166	0.035018	0.07365	0.425931	0.122483	0.19201	0.131131	0.0604732	0.331365	0.898339	2.70982	5	2.630895
44000	-474.2204	-502.3439	28.12355	10	1.166141	0.00751996	0.0990896	0.00310364	0.0295247	0.225818	0.209466	0.0336544	0.0669468	0.038171	0.0228778	0.0240397	0.00949155	0.0195967	0.113049	0.0550763	0.223801	0.026589	0.00950964	0.128823	0.228246	0.0215337	0.0957669	0.0353223	0.586262	0.18405	0.0450288	0.178316	0.168864	0.521566	1.02287	2.2867	5	2.720672
45000	-466.2116	-497.1063	30.89465	10	4.211637	0.00786411	0.170202	0.00324214	0.1515	0.305442	0.0173595	0.0564846	0.048873	0.0542361	0.0560632	0.0945869	0.0342129	0.00799533	0.0163127	0.0981289	0.0280742	0.0153993	0.160468	0.11538	0.0055083	0.11807	0.164351	0.0994515	0.289993	0.104472	0.154919	0.0356639	0.465624	0.782224	1.08431	1.66784	5	2.414253
46000	-461.9242	-497.7517	35.82743	10	1.236519	0.00939887	0.12625	0.0115951	0.00353495	0.348873	0.0384362	0.0391751	0.00940737	0.059729	0.0775202	0.0550585	0.0595045	0.0320507	0.0107157	0.035592	0.010097	0.119819	0.062449	0.0636864	0.150558	0.101728	0.0558127	0.00124228	0.0401302	0.00897165	0.329083	0.0754459	0.181608	0.537889	1.03031	2.25019	5	1.935865
47000	-471.7537	-499.1261	27.37241	10	2.126049	0.00486979	0.141667	0.0257317	0.0261167	0.244862	0.0643051	0.125057	0.00741693	0.0320396	0.0782955	0.0172469	0.0430112	0.0981144	0.0297608	0.0797699	0.033259	0.0556927	0.0442195	0.242665	0.0118208	0.0489392	0.0492261	0.145229	0.0430198	0.251136	0.42059	0.00923114	0.307871	0.667781	1.07285	1.9515	5	2.373292
48000	-468.1495	-500.7912	32.64166	10	1.992323	0.00491611	0.163032	0.0270443	0.0267509	0.385746	0.0475478	0.0469106	0.0411953	0.0380764	0.0152617	0.0563708	0.0334813	0.225373	0.0750018	0.0494082	0.094755	0.176257	0.110092	0.112482	0.116144	0.134129	0.101283	0.00675426	0.0223214	0.00739309	0.176168	0.031632	0.292357	0.654195	1.0698	1.98365	5	2.325526
49000	-464.4336	-497.6103	33.17673	10	1.270609	0.00855204	0.12128	0.000221364	0.0306089	0.210991	0.095922	0.139512	0.0695632	0.115131	0.0238924	0.0608922	0.00901573	0.0438325	0.0261497	0.03804	0.118835	0.0176167	0.097794	0.114009	0.118503	0.231185	0.0714416	0.1453	0.0262966	0.0702419	0.247779	0.0382597	0.187616	0.545316	1.03354	2.23353	5	2.290866
50000	-467.5803	-499.8267	32.2464	10	1.470152	0.00978555	0.0829486	0.0191661	0.036871	0.364171	0.0784433	0.038657	0.00999577	0.0243108	0.113214	0.0225391	0.0634706	0.0389068	0.00936304	0.0152123	0.0211661	0.0804344	0.0427692	0.137706	0.0487558	0.148965	0.244259	0.0334277	0.0590041	0.04594	0.404656	0.0230388	0.220675	0.583512	1.04862	2.14719	5	2.217176
51000	-464.7878	-495.0088	30.22101	10	3.866245	0.0336406	0.0755368	0.0306509	0.0289241	0.217515	0.0312792	0.00408879	0.0395432	0.0715008	0.0155988	0.0445025	0.0782044	0.114546	0.00582173	0.0411521	0.0332828	0.0650737	0.0937452	0.160001	0.0492121	0.0226222	0.0133636	0.113892	0.0245332	0.12748	0.230767	0.187102	0.44686	0.770453	1.0844	1.69829	5	1.953579
52000	-469.4879	-496.9184	27.4305	10	2.667871	0.0505109	0.157377	0.0121334	0.0549776	0.314137	0.101791	0.114353	0.0169584	0.0446947	0.0523063	0.0954215	0.017379	0.0702933	0.0535395	0.0796654	0.121926	0.00526261	0.0745355	0.15797	0.0935662	0.0158064	0.168029	0.103985	0.187912	0.135017	0.523078	0.133538	0.361816	0.711306	1.0803	1.84658	5	2.956164
53000	-476.3466	-498.8473	22.5007	10	2.215172	0.0103237	0.114789	0.0276316	0.0129199	0.234412	0.00491046	0.0802419	0.0654399	0.0391677	0.0426304	0.0899541	0.024203	0.237737	0.0363973	0.0338125	0.0436936	0.03785	0.0350017	0.090562	0.249951	0.0689507	0.232882	0.166792	0.0303502	0.137559	0.38141	0.128133	0.317675	0.676104	1.07455	1.93168	5	2.657706
54000	-466.4983	-496.9454	30.4471	10	1.106071	0.00935084	0.243843	0.0188482	0.015878	0.172439	0.173394	0.026082	0.0130875	0.104434	0.0527489	0.0703872	0.0382874	0.00349166	0.0776046	0.0749877	0.0914475	0.14799	0.00883175	0.0899592	0.046877	0.0230039	0.0657134	0.0916211	0.124401	0.0780612	0.403786	0.122143	0.157619	0.506466	1.01557	2.32034	5	2.388699
55000	-459.9016	-492.0359	32.13429	10	1.207675	0.000844305	0.109912	0.0249479	0.0514791	0.196793	0.059757	0.02445	0.0267772	0.0848623	0.047466	0.0148158	0.00560648	0.0341647	0.0284368	0.0667534	0.0398095	0.0490036	0.19502	0.121163	0.0794398	0.0108877	0.00398409	0.0717849	0.115504	0.0999834	0.241044	0.0496594	0.176441	0.531366	1.02739	2.2648	5	1.85435
56000	-464.7007	-493.7998	29.09906	10	1.846383	0.00982529	0.097712	0.0137789	0.0306424	0.227112	0.0330195	0.0590452	0.0268893	0.0963343	0.134828	0.0204107	0.00203253	0.0283518	0.0590915	0.114017	0.131838	0.25335	0.324389	0.192094	0.0892268	0.00866744	0.0332352	0.0171317	0.209789	0.10485	0.0719642	0.100011	0.274221	0.637617	1.06562	2.02254	5	2.489636
