Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-273.7662	-312.6721	38.90593	10	1.556624	0.166425	0.0397155	0.0192529	0.00983367	0.249321	0.0777535	0.197448	0.142674	0.00771928	0.043055	0.206875	0.114498	0.14909	0.0784958	0.0350112	0.42257	0.0497845	0.0258743	0.14167	0.138154	0.000196343	0.0238174	0.0785182	0.0808463	0.0101887	0.130089	0.00452894	0.215833	0.00403851	0.210123	0.220679	0.0643947	0.238699	0.175353	0.0213619	0.488741	0.031079	0.313143	0.055207	0.0268033	0.177219	0.233939	0.597718	1.05358	2.11476	5	4.88608
11000	-269.4016	-311.9395	42.53793	10	4.893483	0.132452	0.00723129	0.0529971	0.093664	0.0383381	0.0862821	0.00031491	0.0024842	0.0524416	0.0778146	0.205892	0.0386082	0.00703421	0.0225227	0.0838219	0.367466	0.27241	0.0555812	0.0958332	0.0504279	0.0388567	0.00308542	0.00837079	0.0614048	0.0549787	0.0608813	0.0532567	0.213214	0.0688466	0.0250296	0.640277	0.0229555	0.0277728	0.154469	0.318335	0.0560483	0.105863	0.0729507	0.211148	0.0612415	4.44033e-05	0.497593	0.801363	1.08348	1.61756	5	4.002647
12000	-257.9507	-309.6139	51.66318	10	2.640716	0.185227	0.0174657	0.0378387	0.00056108	0.193898	0.152028	0.0249381	0.0875045	0.000769078	0.0886458	0.00527733	0.267886	0.294109	0.0178441	0.0569557	0.159563	0.0913931	0.0415376	0.00684804	0.157245	0.0512775	0.0118405	0.192064	0.0830595	0.095937	0.11147	0.121022	0.0656238	0.0348927	0.0287265	0.343347	0.0406494	0.0646682	0.0616175	0.00235912	0.135958	0.0882175	0.0230627	0.0710514	0.0182775	0.110021	0.359404	0.709472	1.08006	1.85106	5	3.64268
13000	-250.3058	-309.7539	59.44812	10	2.450353	0.0640157	0.0433989	0.0338088	0.020296	0.13685	0.0385059	0.0039968	0.023376	0.0141951	0.0569562	0.156634	0.0734243	0.027832	0.0149599	0.1204	0.00440195	0.0856418	0.059516	0.0287876	0.0742531	0.0102968	0.0314849	0.0275635	0.178219	0.0752519	0.080222	0.0283539	0.043573	0.0418874	0.104514	0.31836	0.0632058	0.0242834	0.0835862	0.113866	0.0894614	0.0876536	0.047358	0.257582	0.0187719	0.0106794	0.341699	0.6957	1.07804	1.88456	5	2.817423
14000	-270.4276	-314.0148	43.58726	10	3.13763	0.168753	0.00162706	0.202117	0.0133139	0.175388	0.00976852	0.0945323	0.0216305	0.00554516	0.0358981	0.0488552	0.251412	0.0797926	0.0242364	0.490278	0.210853	0.102155	0.0941553	0.0210604	0.0206297	0.0919969	0.0168012	0.080189	0.300587	0.0675959	0.015369	0.042198	0.180364	0.370392	0.0298786	0.213926	0.130451	0.0279138	0.158846	0.111499	0.00757705	0.00632011	0.0716297	0.111857	0.0771657	0.153807	0.399637	0.738874	1.08312	1.77837	5	4.338365
15000	-270.1727	-315.3474	45.17469	10	1.331168	0.296012	0.0125212	0.0788799	0.00708806	0.134394	0.0603199	0.103558	0.130398	0.0473326	0.0691794	0.0889706	0.180938	0.158265	0.00985976	0.0670548	0.300479	0.0269278	0.198193	0.0240843	0.037123	0.0531762	0.0229906	0.0103159	0.0340072	0.0302067	0.0785087	0.0824097	0.258346	0.0220226	0.0545812	0.261309	0.0184805	0.00941289	0.17857	0.154222	0.00188318	0.306313	0.0847173	0.133573	0.142488	0.071645	0.198024	0.557809	1.03875	2.20542	5	4.040758
16000	-258.7046	-306.5637	47.85909	10	0.9879334	0.0632659	0.00201822	0.0463894	0.0341262	0.200603	0.123853	0.204935	0.0555342	0.00670311	0.0124621	0.0118829	0.0550623	0.180433	0.0276312	0.0649812	0.143512	0.0114658	0.0209003	0.00637327	0.0618297	0.0723223	0.0144801	0.0434378	0.0933726	0.0310176	0.266895	0.227938	0.060286	0.0172495	0.100429	0.400159	0.128494	0.0238047	0.204096	0.0894787	0.204414	0.0291695	0.1486	0.148955	0.443163	0.0168903	0.13454	0.473095	0.997972	2.39439	5	4.098614
17000	-267.4023	-319.6423	52.23999	10	1.216705	0.106263	0.00148988	0.0559184	0.0711896	0.15293	0.118136	0.021698	0.098523	0.0907755	0.0594594	0.0468438	0.0444789	0.00693724	0.00602457	0.0449088	0.11377	0.0363033	0.0285387	0.0805357	0.0667965	0.0441959	0.0324409	0.0438738	0.120412	0.110442	0.0591805	0.0341816	0.0152159	0.0334393	0.0270483	0.429112	0.0967554	0.0320427	0.0967912	0.10292	0.0298414	0.253396	0.077281	0.378684	0.0145785	0.170641	0.178067	0.533433	1.02832	2.26018	5	3.453992
18000	-271.8947	-314.9447	43.05	10	2.559084	0.107691	0.0958636	0.00463632	0.00620732	0.117653	0.0525881	0.115371	0.103288	0.00328214	0.160604	0.134808	0.0976143	0.0341149	0.0093251	0.0964416	0.285609	0.0472135	0.00696315	0.0259912	0.0535917	0.0482946	0.0138621	0.0873301	0.23164	0.086483	0.210107	0.0174149	0.108083	0.0350157	0.186609	0.116525	0.0399017	0.0184251	0.0792517	0.545759	0.0023499	0.324197	0.0454408	0.094115	0.0477696	0.0620953	0.351988	0.703769	1.07927	1.86498	5	3.959526
19000	-273.8597	-319.9441	46.08441	10	2.302155	0.114406	0.00860625	0.0220276	0.0266112	0.087714	0.0180759	0.19331	0.0669391	0.0467081	0.096749	0.0175926	0.0773803	0.031268	0.000603286	0.107657	0.003414	0.0989649	0.0218774	0.00378131	0.0499221	0.0125248	0.0953423	0.0237773	3.81843e-05	0.00552848	0.0675334	0.171599	0.161898	0.363699	0.0109524	0.0999204	0.00293162	0.140956	0.178164	0.101178	0.0775881	0.069583	0.191379	0.37233	0.160626	0.114018	0.326859	0.683725	1.07599	1.91342	5	3.515176
20000	-261.4837	-309.8797	48.39601	10	3.11939	0.173455	0.0132726	0.0373635	0.0855729	0.254249	0.0518668	0.0704354	0.0789949	0.009151	0.17407	0.0140957	0.134805	0.084112	0.10581	0.102407	0.0434195	0.0745174	0.205129	0.0152981	0.0725059	0.0100152	0.00940445	0.173452	0.0901392	0.0146014	0.0408106	0.15835	0.110935	0.109682	0.247232	0.0766422	0.0296118	0.0489042	0.0705	0.0776761	0.0314976	0.188105	0.017033	0.680146	0.148209	0.0682318	0.398292	0.737931	1.08305	1.78073	5	4.201707
21000	-269.9261	-311.0838	41.15769	10	0.4405379	0.308833	0.013016	0.0367541	0.0487015	0.286426	0.0490427	0.113846	0.079865	0.0777733	0.187685	0.0472955	0.0249124	0.0893024	0.032584	0.0882338	0.120027	0.143772	0.0943454	0.0608212	0.11531	0.0129253	0.0306638	0.0433478	0.528535	0.132799	0.0697621	0.0117232	0.241812	0.383889	0.269643	0.0428958	0.00336061	0.0992273	0.293879	0.00119026	0.00612699	0.0850727	0.0234149	0.0880697	0.101429	0.307354	0.0229705	0.211338	0.771669	2.99402	5	4.795669
22000	-276.742	-318.4863	41.74432	10	0.9804314	0.107506	0.00660225	0.0693899	0.0863148	0.0810624	0.0680716	0.0240018	0.0321325	0.000743862	0.0680448	0.0772265	0.040353	0.0463469	0.0576464	0.0259414	0.180429	0.125858	0.281384	0.0204807	0.190301	0.0247669	0.0104818	0.0585893	0.259931	0.0633839	0.293503	0.1703	0.17877	0.0874455	0.02436	0.0177844	0.0215832	0.334526	0.212024	0.0021691	0.06194	0.17045	0.0244331	0.200238	0.144943	0.25445	0.133033	0.47079	0.99668	2.3995	5	4.205908
23000	-281.5771	-318.1662	36.58903	10	4.709173	0.158775	0.0374784	0.0531303	0.0375104	0.202893	0.0446246	0.0324711	0.0453698	0.151095	0.131585	0.264535	0.113841	0.147212	0.00458899	0.166408	0.296236	0.015997	0.110642	0.00185663	0.126138	0.0708817	0.00892243	0.0156176	0.245368	0.0794475	0.0658859	0.247742	0.198859	0.148968	0.111146	0.104729	0.081459	0.334444	0.339514	0.0213291	0.0253546	0.0430447	0.0594991	0.306814	0.0955251	0.028223	0.489531	0.796641	1.08377	1.63006	5	4.77516
24000	-278.5005	-324.4119	45.91137	10	1.747925	0.111111	0.0223375	0.00320109	0.00733832	0.130191	0.0493956	0.273374	0.00832242	0.053153	0.0654083	0.0883469	0.134514	0.0436586	0.133304	0.0703305	0.339358	0.139696	0.0256517	0.0358662	0.17196	0.0246013	0.125012	0.1401	0.0680418	0.0830419	0.0701919	0.0249429	0.233836	0.0589765	0.320424	0.00664655	0.0727139	0.00683254	0.512606	0.0655795	0.0496266	0.0666664	0.079847	0.0467994	0.12755	0.0536535	0.261209	0.625219	1.06218	2.05139	5	4.144211
25000	-260.8021	-311.3319	50.52979	10	2.411807	0.150593	0.0111134	0.0139855	0.0161838	0.0532155	0.10765	0.0191911	0.0274748	0.0923108	0.12685	0.195723	0.128283	0.173228	0.0205122	0.219408	0.173848	0.0147799	0.117772	0.0307393	0.0405954	0.00355332	0.00922939	0.0832554	0.285082	0.0648215	0.024196	0.0457019	0.0220935	0.0993022	0.00476193	0.113218	0.0203492	0.28025	0.729407	0.136577	0.0239597	0.0354844	0.104063	0.108786	0.0586715	0.279767	0.337932	0.6927	1.07755	1.89181	5	4.265987
26000	-268.191	-304.9577	36.76668	10	4.597743	0.239185	0.00739209	0.0284759	0.0168257	0.256028	0.0849605	0.0627971	0.032527	0.0945035	0.0972121	0.0632327	0.286824	0.168363	0.00402326	0.157538	0.185595	0.10232	0.226118	0.00829871	0.066169	0.0242367	0.0249318	0.0568014	0.473584	0.234579	0.0945665	0.016283	0.311565	0.128618	0.360496	0.150766	0.0683266	0.0461382	0.127358	0.0407763	0.129433	0.0866678	0.0427415	0.129543	0.0224817	0.269715	0.484461	0.793636	1.08392	1.63798	5	5.027996
27000	-270.0269	-313.0124	42.98547	10	1.332269	0.0958137	0.0274809	0.104486	0.00387069	0.1488	0.0813928	0.252814	0.072039	0.00456535	0.0229513	0.0409756	0.144497	0.180938	0.0606557	0.117542	0.0419799	0.268489	0.0962795	0.028279	0.146098	0.0476093	0.00161065	0.299184	0.1771	0.12133	0.229406	0.000450295	0.553448	0.368779	0.0083841	0.122298	0.0544595	0.0418271	0.235673	0.0247655	0.0292047	0.0392956	0.0524299	0.146575	0.148208	0.0581761	0.19821	0.558028	1.03884	2.20492	5	4.700162
28000	-265.3955	-311.725	46.32957	10	1.130524	0.154998	0.0606122	0.0736745	0.0283739	0.190437	0.102471	0.0965839	0.0843848	0.0682931	0.0894534	0.0860314	0.080695	0.0576838	0.034617	0.140528	0.221917	0.0639232	0.0124893	0.0276042	0.0353201	0.0280518	0.0867275	0.0135983	0.127605	0.0229605	0.372311	0.0643642	0.0549517	0.170973	0.0837045	0.00248877	0.373448	0.100457	0.10606	0.172326	0.0368068	0.00981456	0.0566345	0.566466	0.0129228	0.103441	0.162237	0.512752	1.01866	2.30635	5	4.276204
29000	-284.4111	-320.5004	36.08938	10	4.196462	0.0991741	0.0123465	0.00106993	0.0097923	0.208846	0.0953562	0.0654931	0.00143028	0.145086	0.312559	0.126028	0.121312	0.167561	0.110692	0.227544	0.310507	0.253778	0.00305472	0.070977	0.198088	0.0296146	0.000460481	0.190975	0.0558925	0.0433563	0.125794	0.0967253	0.001905	0.18796	0.256449	0.00646768	0.0371596	0.0152536	0.237797	0.0593894	0.0842548	0.0288799	0.129806	0.357754	0.0991424	0.0955352	0.46484	0.78174	1.08432	1.6691	5	4.681266
30000	-281.7758	-324.5125	42.73674	10	2.432989	0.090315	0.00497407	0.0855087	0.00166988	0.50564	0.12475	0.0799341	0.0154884	0.00798271	0.119503	0.120588	0.100078	0.190099	0.108959	0.0115489	0.282946	0.168737	0.0554849	0.10824	0.0384743	0.00569339	0.0238042	0.194427	0.0125905	0.300022	0.109776	0.0741321	0.138142	0.00778555	0.382911	0.0216791	0.262256	0.106256	0.141824	0.300652	0.0142025	0.0310148	0.133667	0.23601	0.195585	0.0167025	0.34001	0.694358	1.07782	1.88781	5	4.930053
31000	-276.5599	-317.611	41.05116	10	1.68997	0.116801	0.0466964	0.155019	0.0509145	0.0573871	0.116387	0.121778	0.0859906	0.0605841	0.0956315	0.0882501	0.0183866	0.101012	0.0225315	0.0712635	0.0770835	0.265025	0.161923	0.0356447	0.0196924	0.0328798	0.0643803	0.666407	0.0705675	0.0163061	0.0390732	0.00239761	0.0496121	0.0528777	0.0920297	0.0656022	0.0795275	0.474014	0.0909076	0.119483	0.093285	0.0109476	0.33674	0.027334	0.164049	0.0143417	0.253234	0.617399	1.05987	2.0695	5	4.330764
32000	-262.3323	-310.0066	47.67424	10	4.142404	0.122698	0.0532287	0.00320842	0.0786505	0.110391	0.109556	0.0956883	0.0352447	0.0471623	0.0702095	0.0383844	0.209607	0.0846131	0.00664748	0.249792	0.140216	0.231632	0.0318202	0.0262379	0.142267	0.0991975	0.00115127	0.0356973	0.0507544	0.074965	0.0252335	0.0924518	0.00594664	0.0481967	0.0531533	0.200077	0.128802	0.216248	0.1616	0.306354	0.149626	0.0193176	0.0977844	0.114591	0.013897	0.316759	0.462018	0.779994	1.08435	1.67364	5	4.09906
