Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
10000	-1180.52	-1209.195	28.67514	10	1.992004	0.0819804	0.0751187	0.0440499	0.061485	0.00196913	0.00773853	0.00442707	0.00244069	0.0905958	0.0578236	0.0163324	0.0509279	0.0316996	0.153821	0.108763	0.0138382	0.0553413	0.177837	0.00458549	0.0289285	0.0559785	0.0366465	0.0919409	0.0192187	0.0637731	0.0589214	0.104333	0.192189	0.126496	0.180035	0.0260341	0.000215543	0.00463198	0.435968	0.181719	0.0555625	0.22288	0.00907129	0.267605	0.0638583	0.196001	0.0830099	0.00594131	0.0118935	0.0637704	0.0810646	0.0133974	0.00672551	0.0241622	0.292318	0.654161	1.06979	1.98373	5	3.752745
11000	-1205.872	-1221.022	15.14948	10	3.686016	0.0795278	0.194	0.0284653	0.170267	0.0305211	0.154589	0.0096859	0.0585091	0.0721147	0.0787413	0.102127	0.0602054	0.193662	0.0476284	0.00751762	0.152638	0.160246	0.184591	0.0142597	0.00390864	0.0319264	0.0232192	0.0324137	0.0651052	0.109819	0.0792337	0.0576259	0.0827851	0.00752327	0.263664	0.217072	0.129852	0.56698	0.216245	0.0754472	0.0644043	0.0256142	0.0354391	0.00142222	0.165095	0.0278354	0.0918798	0.0417236	0.0139285	0.147488	0.0143648	0.120542	0.394932	0.00328935	0.436235	0.7636	1.0843	1.71586	5	4.910072
12000	-1197.766	-1222.347	24.58092	10	2.064894	0.0912131	0.0822734	0.0134711	0.117292	0.0032904	0.0175314	0.0251533	0.00662059	0.0696559	0.0467604	0.0504785	0.108163	0.0624591	0.251181	0.0123094	0.0238161	0.15528	0.168764	0.0172876	0.00798892	0.0233783	0.0474747	0.183293	0.0295007	0.16641	0.042156	0.144772	0.0727354	0.00148373	0.250707	0.320331	0.19938	0.0640528	0.0636385	0.392478	0.0481372	0.0785944	0.234987	0.131104	0.013536	0.0211234	0.00682124	0.212148	0.0382567	0.31367	0.00196258	0.0816417	0.0188048	0.0105434	0.3009	0.661742	1.07153	1.96583	5	4.544112
13000	-1191.212	-1220.479	29.26728	10	1.301041	0.0662337	0.147004	0.0161741	0.0559089	0.0313287	0.0712975	0.000311459	0.0169111	0.0628152	0.0639288	0.000344334	0.00161516	0.0101359	0.0229772	0.0357557	0.0533561	0.0560942	0.127803	0.00513678	0.170674	0.0976337	0.0293801	0.11776	0.0498204	0.0999005	0.00178456	0.167016	0.0434727	0.0149945	0.23269	0.0615292	0.267952	0.0956734	0.0297108	0.341607	0.114975	0.107324	0.00988528	0.172738	0.20426	0.00179847	0.00642487	0.0986561	0.0408271	0.00205215	0.0761654	0.28249	0.0973958	0.0244885	0.192888	0.551702	1.03624	2.21917	5	3.906211
14000	-1183.232	-1213.297	30.0644	10	2.511972	0.0865027	0.12032	0.0503749	0.0862828	0.0136559	0.094974	0.00737101	0.00890576	0.069766	0.00211962	0.00893705	0.0220726	0.0479269	0.0909894	0.0571914	0.0102435	0.116521	0.128088	0.00444135	0.0124336	0.0971891	0.0187672	0.236977	0.028765	0.0539955	0.0525018	0.0461094	0.0517273	0.229202	0.243615	0.0424584	0.130011	0.189602	0.0670753	0.0726336	0.21269	0.0321807	0.0400564	0.0459453	0.216678	0.0218814	0.0498879	0.0152789	0.087464	0.263957	0.0164464	0.172196	0.0314283	0.0150305	0.347589	0.700342	1.07876	1.87331	5	3.820867
15000	-1179.505	-1207.998	28.49229	10	2.38288	0.0432248	0.153247	0.0337594	0.0801617	0.00575873	0.1279	0.0117686	0.00227733	0.0947139	0.00947638	0.0547996	0.0361715	0.00222367	0.314631	0.0470499	0.0203027	0.0652673	0.0551153	0.00568581	0.0259444	0.0630822	0.0182609	0.133439	0.0193841	0.0912355	0.017849	0.0203486	0.011172	0.0172383	0.167981	0.035917	0.0224042	0.1565	0.0258525	0.197164	0.0107413	0.169961	0.0370293	0.402733	0.191378	0.0447793	0.126918	0.0627998	0.0278089	0.0567701	0.0531925	0.231394	0.001525	0.0298025	0.335064	0.690397	1.07717	1.89737	5	3.634141
16000	-1194.901	-1220.184	25.28314	10	2.898568	0.0206581	0.180054	0.00718913	0.0277398	0.00967202	0.0861714	0.0207796	0.00400619	0.087957	0.0457617	0.0304066	0.0444605	0.125182	0.0134453	0.0866421	0.0140402	0.0112648	0.17824	0.0076975	0.00852534	0.132396	0.0283676	0.208036	0.0281668	0.127493	0.0919872	0.0252815	0.0328125	0.0481381	0.188791	0.0206413	0.267006	0.0201104	0.000748039	0.225714	0.0580092	0.281122	0.0950519	0.353576	0.00831463	0.0161773	0.104164	0.0514323	0.0395534	0.0142207	0.0870099	0.00061421	0.214924	0.102157	0.38126	0.725753	1.08197	1.81102	5	3.881909
17000	-1183.045	-1212.126	29.0806	10	2.145317	0.0290762	0.160635	0.0511353	0.128794	0.0155941	0.0602494	0.0170476	0.0108705	0.00381645	0.0145939	0.0395219	0.00809097	0.186609	0.0123056	0.00985969	0.00262677	0.0176613	0.0456581	0.0168009	0.0365626	0.164258	0.0284563	0.161472	0.0264301	0.039608	0.0348472	0.0785047	0.232592	0.205126	0.183988	0.00404516	0.0681101	0.0664123	0.117485	0.109408	0.00376257	0.230385	0.0169052	0.108036	0.0379257	0.267078	0.00180999	0.0606966	0.391823	0.0921905	0.0510011	0.0212177	0.0152606	0.103707	0.310025	0.669627	1.07323	1.94711	5	3.790052
18000	-1192.739	-1215.683	22.94376	10	2.694276	0.0772606	0.262334	0.0367395	0.0903381	0.00918236	0.0919176	0.00568381	0.0655407	0.0506959	0.178926	0.00275357	0.0106243	0.104425	0.0838909	0.00591592	0.0581983	0.185374	0.18392	0.00148757	0.013169	0.00318129	0.0456374	0.129461	0.0610238	0.0232994	0.0574781	0.0561563	0.0430194	0.0449043	0.0364395	0.202126	0.00179308	0.130819	0.195776	0.0152465	0.202938	0.247176	0.116992	0.41567	0.0484104	0.0271831	0.0657976	0.17086	0.0629529	0.0228891	0.0465461	0.00338405	0.106694	0.0252997	0.364135	0.713061	1.08053	1.84228	5	4.127532
19000	-1203.333	-1227.664	24.33084	10	2.31159	0.0746797	0.147065	0.0176746	0.0710587	0.0688792	0.085994	0.0221781	0.000579383	0.0607415	0.129249	0.0176435	0.154874	0.00331265	0.0552243	0.00339326	0.0731887	0.11177	0.0981374	0.000321987	0.0239762	0.122085	0.0125003	0.174382	0.0135214	0.190771	0.0627111	0.057482	0.0103209	0.0841657	0.25975	0.260919	0.0161305	0.0948468	0.485582	0.0512862	0.103845	0.169756	0.0789564	0.0691619	0.0340401	0.0550364	0.127568	0.0686947	0.0339435	0.0442551	0.252937	0.0541293	0.0540748	0.191836	0.327834	0.684524	1.07614	1.91151	5	4.454631
