Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
11000	-145.1373	-195.0101	49.8728	0.2	0.7157789	0.125549	0.0547432	0.354295	0.106159	0.152303	0.0435286	0.130359	0.00850533	0.00217908	0.0181876	0.0110827	0.0415412	0.0718469	0.00226556	0.033363	0.00696405	0.132821	0.0200224	0.0028765	0.0445443	0.0290966	0.00794815	0.0291147	0.0344425	0.0732096	0.137322	0.00975591	0.0611671	0.367311	0.353636	0.426613	0.348671	0.0490819	0.253647	0.076288	0.0775613	0.370881	0.930578	2.62098	2	3.620442
12000	-140.9744	-193.0569	52.08243	0.2	2.232028	0.0388742	0.154009	0.0119705	0.199932	0.011563	0.178112	0.0867565	0.0155047	0.0300309	0.012071	0.00658309	0.00482709	0.0640656	0.0317841	0.0275832	0.0229268	0.0578571	0.00985402	0.0149537	0.0605537	0.0817559	0.167564	0.389305	0.125258	0.0305456	0.239007	0.141349	0.358099	0.0215857	0.025312	0.0711692	0.064746	0.057706	0.480691	0.0516444	0.319483	0.677618	1.07484	1.92806	2	3.34555
13000	-128.022	-194.8599	66.83786	0.2	2.08587	0.0288626	0.171707	0.0736598	0.0796578	0.0824459	0.162767	0.28677	0.0260666	0.00534934	0.0580761	0.000318622	0.0371183	0.0145084	0.00297129	0.0270367	0.0267456	0.0532093	0.00354435	0.036648	0.0585875	0.0633891	0.0074865	0.322637	0.144535	0.147928	0.295942	0.0451307	0.0346982	0.191472	0.0953003	0.00694926	0.0440522	0.0594	0.735461	0.00350227	0.303314	0.663845	1.072	1.96084	2	3.433935
14000	-92.3498	-188.4864	96.13664	0.2	1.335999	0.0925531	0.0325877	0.0381988	0.0429377	0.0254705	0.229844	0.00631909	0.00259553	0.00659433	0.0285709	0.0748685	0.0820598	0.0284482	0.0254461	0.00693705	0.0569221	0.0231525	0.0301122	0.0305091	0.179526	0.267739	0.010322	0.390982	0.091425	0.0896993	0.163006	0.083045	0.0597031	0.0483979	0.0345852	0.0812183	0.0602708	0.037776	0.0159854	0.237735	0.19884	0.558769	1.03914	2.20325	2	2.715544
15000	-120.539	-203.1635	82.62455	0.2	1.282758	0.0823083	0.0715101	0.213252	0.0864644	0.0289881	0.00735958	0.026874	0.0429588	0.00547663	0.0169609	0.0294128	0.0795061	0.0663339	0.0547322	0.0334972	0.0464038	0.0749907	0.0704891	0.00989066	0.0534864	0.0564927	0.0737361	0.0333052	0.326566	0.0508399	0.056978	0.0161821	0.0986411	0.177891	0.204968	0.364998	0.315011	0.19932	0.0031614	0.244504	0.189731	0.547892	1.03463	2.22774	2	3.32349
16000	-107.708	-197.0497	89.34174	0.2	2.123517	0.213844	0.0174517	0.165666	0.0754339	0.00369358	0.252494	0.438935	0.00547008	0.0152864	0.00579083	0.0499678	0.0102927	0.00449259	0.00694481	0.0868228	0.00677163	0.0260418	0.00999219	0.0168829	0.0162536	0.0151829	0.129131	0.517996	0.406533	0.0189614	0.148119	0.0592065	0.0123265	0.149761	0.325285	0.435709	0.0227946	0.320934	0.391924	0.0918267	0.307586	0.667537	1.07279	1.95208	2	4.474218
17000	-131.7907	-192.1257	60.33499	0.2	2.351933	0.0669794	0.138242	0.0508485	0.0704485	0.0235935	0.0214698	0.0368998	0.0115903	0.00047427	0.0268777	0.00116573	0.0549847	0.0365602	0.133786	0.0925601	0.0262291	0.0806481	0.0149611	0.0587632	0.0326914	0.0245761	0.253548	0.01319	0.00864658	0.0775685	0.155238	0.294078	0.519888	0.0725259	0.127361	0.327251	0.0620192	0.0784442	0.365119	0.208828	0.331954	0.687883	1.07673	1.90343	2	3.568055
18000	-106.3666	-197.6574	91.29088	0.2	1.015788	0.341487	0.0200713	0.0591948	0.0166367	0.0273943	0.247027	0.0951635	0.0283709	0.0175413	0.00385185	0.0362414	0.0983166	0.176972	0.0231279	0.178298	0.0243499	0.0119147	0.041911	0.00441144	0.0474083	0.054144	0.302807	0.177089	0.0609191	0.126317	0.319858	0.449721	0.016654	0.284699	0.377692	0.0818643	0.0124177	0.0155171	0.0366262	0.13868	0.140093	0.481446	1.00257	2.37589	2	3.954695
19000	-70.14159	-189.3087	119.1671	0.2	1.363344	0.0236576	0.0673947	0.0568541	0.160616	0.061172	0.170105	0.0983663	0.0180241	0.00368686	0.0219039	0.0199164	0.0138409	0.0465121	0.0396624	0.0120361	0.0151628	0.057972	0.00819866	0.00303971	0.0129982	0.0695704	0.113694	0.12672	0.0335345	0.0320765	0.206506	0.354093	0.052998	0.0754271	0.00964505	0.248729	0.00683006	0.0198243	0.05249	0.274722	0.203419	0.564108	1.04128	2.1912	2	2.58798
20000	-67.02879	-182.8592	115.8304	0.2	3.233413	0.0796449	0.0565592	0.0662745	0.0394105	0.00451028	0.0827833	0.0277989	0.0171949	0.0414903	0.00633948	0.00950414	0.0221704	0.0976422	0.00446625	0.0585748	0.0154637	0.011831	0.00444266	0.00142423	0.555814	0.0269332	0.0297299	0.0275437	0.0112157	0.0977918	0.389881	0.635877	0.281589	0.191143	0.0574019	0.00235396	0.0889751	0.0737131	0.0509836	0.0864203	0.40655	0.743684	1.08345	1.76632	2	3.254892
