Iteration	Posterior	Likelihood	Prior	alpha_dir	alpha_morpho	brlens[1]	brlens[2]	brlens[3]	brlens[4]	brlens[5]	brlens[6]	brlens[7]	brlens[8]	brlens[9]	brlens[10]	brlens[11]	brlens[12]	brlens[13]	brlens[14]	brlens[15]	brlens[16]	brlens[17]	brlens[18]	brlens[19]	brlens[20]	brlens[21]	brlens[22]	brlens[23]	brlens[24]	brlens[25]	brlens[26]	brlens[27]	brlens[28]	brlens[29]	brlens[30]	brlens[31]	brlens[32]	brlens[33]	brlens[34]	brlens[35]	brlens[36]	brlens[37]	brlens[38]	brlens[39]	brlens[40]	brlens[41]	brlens[42]	brlens[43]	brlens[44]	brlens[45]	brlens[46]	brlens[47]	brlens[48]	brlens[49]	brlens[50]	brlens[51]	brlens[52]	brlens[53]	brlens[54]	brlens[55]	brlens[56]	brlens[57]	brlens[58]	brlens[59]	brlens[60]	brlens[61]	brlens[62]	brlens[63]	brlens[64]	brlens[65]	brlens[66]	brlens[67]	brlens[68]	brlens[69]	brlens[70]	brlens[71]	brlens[72]	brlens[73]	brlens[74]	brlens[75]	brlens[76]	brlens[77]	brlens[78]	brlens[79]	brlens[80]	brlens[81]	brlens[82]	brlens[83]	brlens[84]	brlens[85]	brlens[86]	brlens[87]	brlens[88]	brlens[89]	brlens[90]	brlens[91]	brlens[92]	brlens[93]	brlens[94]	brlens[95]	brlens[96]	brlens[97]	brlens[98]	brlens[99]	brlens[100]	brlens[101]	brlens[102]	brlens[103]	brlens[104]	brlens[105]	brlens[106]	brlens[107]	char_rates[1]	char_rates[2]	char_rates[3]	char_rates[4]	model_indicator	tree_length
0	-4904.727	-4848.678	-56.04896	10	1.938722	0.0747507	0.126273	0.0818502	0.165891	0.160149	0.057743	0.00725226	0.339861	0.126434	0.0600507	0.0122979	0.754588	0.0547817	0.103366	0.0103756	0.00325611	0.314382	0.200029	0.0478467	0.0206584	0.260599	0.0487177	0.0335097	0.135615	0.0145514	0.0368125	0.176316	0.125712	0.00989807	0.0688607	0.139807	0.0742605	0.389907	0.01876	0.141455	0.0199753	0.0493614	0.00799765	0.0111482	0.235556	0.0166246	0.139017	0.015164	0.0336882	0.353528	0.0586924	0.0423833	0.0674544	0.0279008	0.130579	0.409115	0.00907785	0.207776	0.300099	0.0633499	0.3914	0.184318	0.00736665	0.0393987	0.0302715	0.0303634	0.27632	0.00563599	0.000251925	0.109268	0.508912	0.283748	0.0355702	0.0590615	0.029184	0.339256	0.0466337	0.0411329	0.341983	0.0153502	0.0483369	0.33065	0.0292282	0.0532748	0.0437418	0.175294	0.0756149	0.00972539	0.00789392	0.0537111	0.0795552	0.0891946	0.00771191	0.175686	0.0776169	0.114948	0.245745	0.100689	0.260124	0.00522428	0.0230594	0.0743878	0.097809	0.101042	0.139233	0.0674151	0.380126	0.141701	0.0104876	0.14738	0.114999	0.0798817	0.285848	0.648335	1.06838	1.99744	5	12.73202
1000	-2805.19	-2790.899	-14.2913	1	1.220162	0.00286655	0.00644962	0.047611	0.0623473	0.0751526	0.27171	0.0233289	0.0369491	0.122277	0.113069	0.055916	0.120437	0.0449494	0.0135578	0.0824925	0.152738	0.0310363	0.0420807	0.0210554	0.0473703	0.00400577	0.250754	0.0726509	0.0184852	0.0880437	0.00321518	0.0346362	0.0294958	0.0230203	0.0392221	0.102025	0.0434221	0.132504	0.0313707	0.0560174	0.148169	0.0305004	0.0135064	0.0515975	0.206398	0.00531198	0.016204	0.00903667	0.141054	0.0205823	0.00522289	0.150196	0.029558	0.152372	0.0728578	0.0443397	0.188742	0.145299	0.00351839	0.0868069	0.030814	0.0408513	0.00831487	0.0408521	0.340252	0.228686	0.141312	0.00887157	0.00145493	0.0492312	0.0220328	0.0215064	0.0356022	0.0211037	0.0369098	0.0617348	0.0715028	0.0486053	0.0113265	0.0464377	0.0177787	0.367572	0.00188895	0.0234934	0.0151016	0.0352705	0.103828	0.109187	0.00630829	0.0472417	0.0210324	0.0378721	0.271638	0.00379329	0.0112481	0.0444677	0.210564	0.0220485	0.058885	0.0256175	0.0220964	0.135405	0.109108	0.0298322	0.100764	0.0422955	0.503413	0.0796617	0.0398956	0.0479953	0.0708596	0.0552709	0.178688	0.534218	1.02868	2.25842	3	7.762373
2000	-2801.947	-2779.968	-21.97891	2	1.84133	0.0356692	0.00648097	0.0537933	0.0393782	0.11387	0.161996	0.0494393	0.179134	0.048696	0.0671565	0.24768	0.153101	0.00988261	0.00709196	0.142463	0.197292	0.0947576	0.00640044	0.00823392	0.181191	0.0234874	0.12455	0.019124	0.0409055	0.001503	0.0897579	0.023652	0.0313291	0.0248972	0.0464057	0.0971003	0.0319872	0.0134418	0.0574528	0.0965526	0.0109717	0.00682191	0.026515	0.0187296	0.0870752	0.0106686	0.0307436	0.0180635	0.0496253	0.00425386	0.000851181	0.0820265	0.133916	0.0786302	0.0114873	0.0241492	0.222651	0.487769	0.378115	0.0735128	0.44818	0.0495851	0.126292	0.00213649	0.154623	0.12944	0.0245113	0.0214278	0.0287044	0.0306322	0.0106459	0.0483365	0.0774412	0.299858	0.029496	0.00881952	0.0359957	0.0606906	0.0811787	0.0815724	0.0411791	0.198558	0.233495	0.0700884	0.0248647	0.123149	0.0560428	0.0604048	0.282729	0.101524	0.0327846	0.0425232	0.122988	0.0262806	0.00757525	0.0649707	0.238901	0.0379945	0.0400205	0.182152	0.0484099	0.10822	0.00322148	0.110143	0.0938497	0.00744761	0.0312107	0.007231	0.00561244	0.060411	0.146872	0.0735618	0.273569	0.637006	1.06546	2.02396	4	8.716411
3000	-2783.784	-2765.391	-18.39261	1	2.316937	0.0215467	0.0136003	0.035936	0.0896292	0.0917526	0.189115	0.00512456	0.118456	0.0866702	0.061675	0.302274	0.0507093	0.0163739	0.0684901	0.160151	0.0680358	0.0675573	0.359241	0.0473879	0.0100639	0.0584309	0.0318119	0.00210372	0.035594	0.0166881	0.0606359	0.0380524	0.0291213	0.0520331	0.0362435	0.0101895	0.11314	0.00788565	0.0525365	0.0541272	0.00670097	0.0524334	0.00542745	2.53095e-05	0.222731	0.00171492	0.0477583	0.0115126	0.0516177	0.0226053	0.0112175	0.126698	0.0714575	0.0509723	0.1312	0.0238138	0.261424	0.247152	0.106739	0.0605787	0.0175997	0.0588626	0.0711934	0.0242085	0.0018232	0.0118822	0.0110988	0.0536741	0.0471165	0.0247922	0.0239125	0.0860788	0.0461342	0.0311292	0.0227352	0.100373	0.0448393	0.0827128	0.0452899	0.133912	0.246833	0.0224862	0.274302	0.0384356	0.00435333	0.0244269	0.0647761	0.0224398	0.106204	0.0947981	0.0330914	0.00546231	0.0197567	0.0967262	0.764824	0.108168	0.0188549	0.0188561	0.199238	0.0468609	0.116055	0.174638	0.00130683	0.0802862	0.0624018	0.0520319	0.0998189	0.0688826	0.0414704	0.12564	0.0196616	0.0942105	0.328384	0.684975	1.07622	1.91042	3	8.062827
4000	-2791.722	-2767.6	-24.12226	2	1.50186	0.0164603	0.0136284	0.0311807	0.12439	0.180496	0.163974	0.00870746	0.0593652	0.0170878	0.0882784	0.397602	0.142336	0.0363667	0.0326383	0.0982816	0.246881	0.140466	0.327431	0.0531815	0.00466604	0.104003	0.0480711	0.0651866	0.00130306	0.0245899	0.0127569	0.0417924	0.00867182	0.0561139	0.0443281	0.0192323	0.0746984	0.0207473	0.0676155	0.0559369	0.0534746	0.0113694	7.82898e-06	0.0251989	0.16924	0.00492631	0.0048615	0.0381372	0.0897099	0.00751517	0.00353157	0.0904049	0.0664286	0.089287	0.0625057	0.00171981	0.243408	0.368064	0.0686399	0.0147714	0.0658615	0.0397779	0.150262	0.0144708	0.0651327	0.0167137	0.208439	0.0554507	0.0577531	0.11864	0.0181981	0.100175	0.276022	0.0415974	0.0747092	0.0345098	0.0365224	0.0202154	0.00564482	0.181863	0.255417	0.00502327	0.46088	0.000596897	0.258659	0.0276561	0.0492244	0.114744	0.0766801	0.0800425	0.0463521	0.0100477	0.0622919	0.0198454	0.108038	0.0423865	0.0163879	0.0460339	0.0337797	0.015862	0.13463	0.00231634	0.0545015	0.0910314	0.745384	0.104321	0.0205738	0.0845944	0.00109676	0.156814	0.0686972	0.0244749	0.22561	0.588866	1.05053	2.13499	4	9.042011
5000	-2794.321	-2772.433	-21.88771	1	1.661831	0.0170187	0.00105148	0.0101114	0.0970634	0.293054	0.100825	0.040227	0.0589845	0.101157	0.0190686	0.105637	0.0927944	0.0404985	0.0242507	0.0732745	0.161912	0.089091	0.196897	0.0188475	0.0149116	0.0501067	0.182694	0.0627029	0.0135399	0.165629	0.120352	0.00736985	0.0297671	0.0559714	0.0412106	0.089132	0.0487165	0.0125593	0.0297053	0.0861904	0.0501479	0.027339	4.26022e-05	0.0039919	0.241687	0.00442098	0.00332869	0.0375271	0.0394196	0.00134426	0.00496581	0.100382	0.0663412	0.0155944	0.0414759	0.0366177	0.17009	0.23317	0.164457	0.0994812	0.175891	0.0265386	0.0211598	0.0354873	0.00196595	0.0448901	0.0553201	0.0129518	0.0285791	0.134809	0.108442	0.0929356	0.0266139	0.0541392	0.112549	0.179694	0.0401956	0.22158	0.0241552	0.110112	0.199186	0.0221426	0.1933	0.0147809	0.399441	0.0220294	0.0223443	0.0520784	0.0953232	0.110201	0.0823844	0.0348551	0.24244	0.0156936	0.0161598	0.0637821	0.047349	0.021488	0.029599	0.0609758	0.0377004	0.0546125	0.163788	0.200558	0.0922428	0.00901499	0.238579	0.242187	0.0667931	0.0856603	0.133382	0.00562206	0.249274	0.61345	1.05866	2.07861	3	8.477847
6000	-2804.928	-2783.398	-21.52994	1	1.811578	0.00152243	0.0193349	0.046802	0.133887	0.176065	0.165826	0.081831	0.14619	0.0325135	0.0253607	0.225625	0.0416943	0.0193802	0.0859892	0.14651	0.143203	0.0697403	0.122459	0.0261251	0.0326671	0.0247478	0.0075217	0.0729985	0.0308318	0.175037	0.0386482	0.0335373	0.0177619	0.0628738	0.0402362	0.021049	0.128204	0.0038482	0.0379241	0.142292	0.0220558	0.0121621	0.000615391	0.0523838	0.352848	0.00226519	0.00296198	0.0373804	0.0965027	0.015102	0.0121307	0.107229	0.095485	0.128821	0.00488218	0.100253	0.239888	0.356464	0.206865	0.0970694	0.0407971	0.0391434	0.0114305	0.0272899	0.106285	0.106549	0.121202	0.0254289	0.139703	0.0640078	0.00479482	0.0983195	0.327618	0.168721	0.00795829	0.0898203	0.0111253	0.0423067	0.150141	0.0363167	0.0470048	0.0586931	0.132343	0.068093	0.185336	0.00901388	0.0541299	0.109382	0.0104019	0.11177	0.0177596	0.0139478	0.230742	0.0562372	0.016832	0.0500026	0.0118253	0.0130711	0.0761097	0.00155412	0.0658953	0.0194822	0.00418525	0.0357309	0.136252	0.00279107	0.0735437	0.532139	0.00295692	0.0757687	0.0505013	0.0110412	0.269696	0.633355	1.06447	2.03248	3	8.427096
7000	-2779.894	-2766.15	-13.74394	2	2.4657	0.0191813	0.00831392	0.0493703	0.203413	0.0816763	0.274633	0.00334393	0.267877	0.0456689	0.0111877	0.315984	0.0256818	0.0375201	0.0440026	0.0982826	0.180904	0.0602408	0.298193	0.0658059	0.0592854	0.0608812	0.0226872	0.0597571	0.00212225	0.0678113	0.0434363	0.0213185	0.00482059	0.0274398	0.0231866	0.0236916	0.00789949	0.0298103	0.00736921	0.0708243	0.0066434	0.0148175	0.0305415	0.00374267	0.137723	0.00287088	0.0314644	0.0246136	0.0848742	0.0196532	0.00527583	0.167915	0.0541666	0.0717325	0.0129311	0.072379	0.353852	0.220191	0.0757869	0.000762874	0.0498124	0.101438	0.0365543	0.0553617	0.0270008	0.0436835	0.0293332	0.0158227	0.0821866	0.132335	0.0884952	0.044046	0.475774	0.00137962	0.0874884	0.141191	0.025593	0.0860673	0.0262523	0.0739969	0.0593679	0.00954536	0.0805829	0.00512948	0.0449527	0.134568	0.0658429	0.129566	0.178288	0.0393999	0.0650941	0.066307	0.237668	0.166261	0.078908	0.0425966	0.0176275	0.0085076	0.0560731	0.0471503	0.102126	0.0180942	0.0669363	0.0305744	0.0234741	0.0122938	0.00590758	0.0869109	0.0163924	0.170286	0.022881	0.0207248	0.34318	0.696874	1.07823	1.88172	4	7.749408
8000	-2775.003	-2762.139	-12.86422	2	1.453807	0.00655472	0.00452543	0.0252181	0.115044	0.123724	0.200993	0.00115313	0.0339981	0.0252878	0.0799444	0.339244	0.0932092	0.00189314	0.0558425	0.0794335	0.130836	0.0977641	0.14472	0.0907589	0.187826	0.0139806	0.0123344	0.0214345	0.00172653	0.0720678	0.0477155	0.0234356	0.0130548	0.00795864	0.0289334	0.0185499	0.250219	0.0184757	0.0941397	0.0588923	0.0224959	0.0411782	0.00202509	0.0396311	0.173636	0.0127449	0.0175845	0.0234477	0.0926866	0.0210166	0.00374894	0.141874	0.0583739	0.0292663	0.0551926	0.0172482	0.126289	0.228851	0.0213001	0.0364867	0.0790469	0.207756	0.0621717	0.093468	0.118398	0.1402	0.0186261	0.127265	0.0866213	0.0288054	0.0131397	0.0624179	0.0698199	0.136413	0.0850628	0.0377498	0.0188937	0.0267496	0.0645191	0.120916	0.0173616	0.00454731	0.157513	0.0433312	0.16674	0.0312102	0.103567	0.0120527	0.522156	0.0313861	0.0267288	0.0111527	0.00602742	0.0753285	0.0112698	0.0389836	0.0422599	0.030059	0.0931009	0.0538844	0.0567241	0.0112481	0.104869	0.0262036	0.0567233	0.126248	0.000663762	0.161622	0.0203285	0.171265	0.0318247	0.147839	0.218098	0.580683	1.04759	2.15363	4	7.678222
9000	-2774.11	-2762.663	-11.44712	2	1.687268	0.00953476	0.00949174	0.069926	0.0753981	0.174505	0.0937362	0.00778417	0.112279	0.0124028	0.010015	0.116005	0.0968532	0.0565027	0.00492865	0.0808889	0.371859	0.130689	0.163266	0.019981	0.0287206	0.0772935	0.00781344	0.0110459	0.0150904	0.0721072	0.0663894	0.0589772	0.0139702	0.0234634	0.076046	0.038121	0.039021	0.0423164	0.0717452	0.047005	0.0771311	0.0105411	0.024749	0.0269819	0.160489	0.00706234	0.0178963	0.0231305	0.0977139	0.00676991	0.00617794	0.108077	0.0974127	0.0499588	0.133562	0.0692909	0.187022	0.184829	0.128255	0.0112323	0.00213846	0.798393	0.0341854	0.221424	0.104519	0.113534	0.00421954	0.0614413	0.0832434	0.00661784	0.146669	0.0820975	0.0383969	0.124655	0.0166366	0.108512	0.0480261	0.175889	0.00982189	0.0465015	0.0145509	0.0696286	0.12006	0.0613474	0.0125412	0.0735418	0.292729	0.113243	0.0400932	0.00640807	0.00394344	0.0820531	0.0277409	0.0104999	0.0487951	0.0159828	0.0478257	0.0834857	0.000872145	0.0277625	0.015785	0.0147239	0.0590495	0.0237481	0.0889079	0.00843489	0.0489524	0.0164454	0.00328438	0.0355575	7.84167e-05	0.196156	0.252856	0.617024	1.05976	2.07036	4	7.624605
